,page,date,total_visits
0,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,70110063
1,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-02 00:00:00,75431128
2,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-03 00:00:00,75690625
3,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-04 00:00:00,80823742
4,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-05 00:00:00,78846869
5,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-06 00:00:00,80689841
6,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-07 00:00:00,78204987
7,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-08 00:00:00,75550218
8,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-09 00:00:00,76742684
9,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-10 00:00:00,77535586
10,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-11 00:00:00,86308231
11,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-12 00:00:00,79327811
12,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-13 00:00:00,76531985
13,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-14 00:00:00,78757360
14,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-15 00:00:00,77240877
15,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-16 00:00:00,76830057
16,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-17 00:00:00,78697291
17,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-18 00:00:00,83405540
18,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-19 00:00:00,82965740
19,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-20 00:00:00,81333217
20,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-21 00:00:00,80314207
21,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-22 00:00:00,75535757
22,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-23 00:00:00,75626282
23,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-24 00:00:00,76825022
24,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-25 00:00:00,83038917
25,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-26 00:00:00,80489107
26,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-27 00:00:00,82359728
27,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-28 00:00:00,77469805
28,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-29 00:00:00,75355619
29,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-30 00:00:00,74324191
30,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-31 00:00:00,79410864
31,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-01 00:00:00,84955126
32,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-02 00:00:00,84375834
33,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-03 00:00:00,83562042
34,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-04 00:00:00,80314693
35,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-05 00:00:00,76084059
36,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-06 00:00:00,74846626
37,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-07 00:00:00,78291433
38,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-08 00:00:00,83696854
39,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-09 00:00:00,82576019
40,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-10 00:00:00,82152795
41,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-11 00:00:00,75871264
42,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-12 00:00:00,74443882
43,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-13 00:00:00,74694213
44,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-14 00:00:00,79080459
45,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-15 00:00:00,84684725
46,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-16 00:00:00,87086474
47,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-17 00:00:00,85013790
48,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-18 00:00:00,79746997
49,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-19 00:00:00,75867889
50,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-20 00:00:00,74488073
51,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-21 00:00:00,79214021
52,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-22 00:00:00,85329353
53,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-23 00:00:00,79975084
54,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-24 00:00:00,80053153
55,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-25 00:00:00,80499214
56,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-26 00:00:00,77043940
57,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-27 00:00:00,75475040
58,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-28 00:00:00,81257658
59,.xxx_en.wikipedia.org_all-access_all-agents,2016-02-29 00:00:00,91180876
60,.xxx_en.wikipedia.org_all-access_all-agents,2016-03-01 00:00:00,83760826
61,.xxx_en.wikipedia.org_all-access_all-agents,2016-03-02 00:00:00,83953913
62,.xxx_en.wikipedia.org_all-access_all-agents,2016-03-03 00:00:00,86788427
63,.xxx_en.wikipedia.org_all-access_all-agents,2016-03-04 00:00:00,82727427
64,.xxx_en.wikipedia.org_all-access_all-agents,2016-03-05 00:00:00,87687508
65,.xxx_en.wikipedia.org_all-access_all-agents,2016-03-06 00:00:00,86369717
66,.xxx_en.wikipedia.org_all-access_all-agents,2016-03-07 00:00:00,87848024
67,.xxx_en.wikipedia.org_all-access_all-agents,2016-03-08 00:00:00,83234374
68,.xxx_en.wikipedia.org_all-access_all-agents,2016-03-09 00:00:00,80874272
69,.xxx_en.wikipedia.org_all-access_all-agents,2016-03-10 00:00:00,77312281
70,.xxx_en.wikipedia.org_all-access_all-agents,2016-03-11 00:00:00,73551285
71,.xxx_en.wikipedia.org_all-access_all-agents,2016-03-12 00:00:00,71312539
72,.xxx_en.wikipedia.org_all-access_all-agents,2016-03-13 00:00:00,69438775
73,.xxx_en.wikipedia.org_all-access_all-agents,2016-03-14 00:00:00,79663263
