,page,date,total_visits
0,.xxx_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2751143
1,.xxx_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,2390100
2,1._Juli_de.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,39357
3,2014_FIFA_World_Cup_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2706208
4,2014_FIFA_World_Cup_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,1312660
5,2014_FIFA_World_Cup_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,1355665
6,2015_Copa_AmÃ©rica_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,942281
7,2015_Copa_AmÃ©rica_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,389617
8,2015_Copa_AmÃ©rica_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,540139
9,2015_in_film_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3123753
10,2015_in_film_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,2052266
11,2015_in_film_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,1033992
12,2015â€“16_UEFA_Champions_League_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2319010
13,2015â€“16_UEFA_Champions_League_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,1397286
14,2015â€“16_UEFA_Europa_League_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,724098
15,2015å¹´å…«ä»™æ¨‚åœ’æ´¾å°ç²‰å¡µçˆ†ç‚¸äº‹æ•…_zh.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,170088
16,2015å¹´å…«ä»™æ¨‚åœ’æ´¾å°ç²‰å¡µçˆ†ç‚¸äº‹æ•…_zh.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,108782
17,2015å¹´å…«ä»™æ¨‚åœ’æ´¾å°ç²‰å¡µçˆ†ç‚¸äº‹æ•…_zh.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,60667
18,2016_Summer_Olympics_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,14176775
19,2018_FIFA_World_Cup_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,2588977
20,50_Cent_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3148844
21,AC/DC_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,3470568
22,AC/DC_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,1907340
23,A_Song_of_Ice_and_Fire_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4531889
24,A_Song_of_Ice_and_Fire_en.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,2237988
25,Abraham_Lincoln_en.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,7494013
26,Abraham_Lincoln_en.wikipedia.org_mobile-web_all-agents,2016-01-01 00:00:00,4020606
27,Accueil_fr.wikipedia.org_all-access_all-agents,2016-01-01 00:00:00,4858335
28,Accueil_fr.wikipedia.org_desktop_all-agents,2016-01-01 00:00:00,4000501
